server_id,platform_server_id,inner_server_ip,server_path,server_db_name,server_db_ip,platform,db_port,gm_port,out_server_ip,status,port_seq
s18,1377_s5,10.6.8.55,data/xy/shengbei_s18_9018,shengbei_lianyun_s18,10.6.3.121,1377,3306,11814,42.62.62.18,running,1
s23,1377_s10,10.6.6.10,data/xy/shengbei_s23_9023,shengbei_lianyun_s23,10.6.5.59,1377,3306,12314,42.62.56.209,running,2
s24,1377_s11,10.6.8.102,data/xy/shengbei_s24_9024,shengbei_lianyun_s24,10.6.5.59,1377,3306,12414,42.62.62.19,running,2
s26,1377_s12,10.6.8.55,data/xy/shengbei_s26_9026,shengbei_lianyun_s26,10.6.5.59,1377,3306,12614,42.62.62.18,running,2
s30,u17_s1,10.6.5.214,data/xy/shengbei_s30_9030,shengbei_lianyun_s30,10.6.5.59,u17,3306,13014,42.62.62.15,running,2
s41,360_s6,10.6.7.170,data/xy/shengbei_s41_9041,shengbei_lianyun_s41,10.6.4.208,360,3306,14114,42.62.62.80,running,3
s42,awo_s3,10.6.3.139,data/xy/shengbei_s42_9042,shengbei_lianyun_s42,10.6.5.59,awo,3306,14214,42.62.62.16,running,3
s47,1377_s13,10.6.8.55,data/xy/shengbei_s47_9047,shengbei_lianyun_s47,10.6.2.83,1377,3306,14714,42.62.62.18,running,3
s48,awo_s4,10.6.1.213,data/xy/shengbei_s48_9048,shengbei_lianyun_s48,10.6.2.83,awo,3306,14814,42.62.62.88,running,1
s50,360_s8,10.6.7.173,data/xy/shengbei_s50_9050,shengbei_lianyun_s50,10.6.4.208,360,3306,15014,42.62.62.86,running,2
s59,renren_s4,10.6.5.84,data/xy/shengbei_s59_9059,shengbei_lianyun_s59,10.6.2.83,renren,3306,15914,42.62.62.90,running,2
s64,91wan_s1,10.6.5.169,data/xy/shengbei_s64_9064,shengbei_lianyun_s64,10.6.5.191,91wan,3306,16414,42.62.3.179,running,1
s65,smggame_s1,10.6.4.233,data/xy/shengbei_s65_9065,shengbei_lianyun_s65,10.6.5.160,smggame,3306,16514,42.62.56.33,running,1
s79,kaixin001_s1,10.6.1.121,data/xy/shengbei_s79_9079,shengbei_lianyun_s79,10.6.3.39,kaixin001,3306,17914,42.62.56.250,running,1
s80,pps_s1,10.6.3.172,data/xy/shengbei_s80_9080,shengbei_lianyun_s80,10.6.7.140,pps,3306,18014,42.62.56.251,running,1
s84,360_s12,10.6.5.172,data/xy/shengbei_s84_9084,shengbei_lianyun_s84,10.6.4.208,360,3306,18414,42.62.56.196,running,3
s85,360_s13,10.6.3.29,data/xy/shengbei_s85_9085,shengbei_lianyun_s85,10.6.6.246,360,3306,18514,42.62.56.127,running,1
s86,360_s14,10.6.3.29,data/xy/shengbei_s86_9086,shengbei_lianyun_s86,10.6.6.246,360,3306,18614,42.62.56.127,running,2
s87,360_s15,10.6.3.29,data/xy/shengbei_s87_9087,shengbei_lianyun_s87,10.6.6.246,360,3306,18714,42.62.56.127,running,3
s88,360_s16,10.6.8.87,data/xy/shengbei_s88_9088,shengbei_lianyun_s88,10.6.6.246,360,3306,18814,42.62.56.247,running,1
s89,u17_s3,10.6.5.81,data/xy/shengbei_s89_9089,shengbei_lianyun_s89,10.6.2.83,u17,3306,18914,42.62.62.92,running,1
s90,u17_s4,10.6.5.81,data/xy/shengbei_s90_9090,shengbei_lianyun_s90,10.6.2.83,u17,3306,19014,42.62.62.92,running,2
s91,1377_s14,10.6.8.102,data/xy/shengbei_s91_9091,shengbei_lianyun_s91,10.6.8.220,1377,3306,19114,42.62.62.19,running,3
s92,1377_s15,10.6.1.45,data/xy/shengbei_s92_9092,shengbei_lianyun_s92,10.6.8.220,1377,3306,19214,42.62.56.216,running,3
s93,1377_s16,10.6.6.10,data/xy/shengbei_s93_9093,shengbei_lianyun_s93,10.6.8.220,1377,3306,19314,42.62.56.209,running,3
s94,awo_s8,10.6.5.216,data/xy/shengbei_s94_9094,shengbei_lianyun_s94,10.6.3.24,awo,3306,19414,42.62.26.63,running,1
s95,awo_s9,10.6.5.216,data/xy/shengbei_s95_9095,shengbei_lianyun_s95,10.6.3.24,awo,3306,19514,42.62.26.63,running,2
s96,awo_s10,10.6.5.216,data/xy/shengbei_s96_9096,shengbei_lianyun_s96,10.6.3.24,awo,3306,19614,42.62.26.63,running,3
s97,awo_s11,10.6.8.98,data/xy/shengbei_s97_9097,shengbei_lianyun_s97,10.6.3.24,awo,3306,19714,42.62.50.194,running,1
s98,pptv_s3,10.6.8.243,data/xy/shengbei_s98_9098,shengbei_lianyun_s98,10.6.1.238,pptv,3306,19814,42.62.62.89,running,3
s101,renren_s8,10.6.5.72,data/xy/shengbei_s101_9101,shengbei_lianyun_s101,10.6.3.95,renren,3306,20114,42.62.26.73,running,3
s102,4399_s3,10.6.1.52,data/xy/shengbei_s102_9102,shengbei_lianyun_s102,10.6.6.162,4399,3306,20214,42.62.62.87,running,3
s103,91wan_s2,10.6.5.169,data/xy/shengbei_s103_9103,shengbei_lianyun_s103,10.6.5.191,91wan,3306,20314,42.62.3.179,running,2
s104,smggame_s2,10.6.4.233,data/xy/shengbei_s104_9104,shengbei_lianyun_s104,10.6.5.160,smggame,3306,20414,42.62.56.33,running,2
s106,renren_s9,10.6.7.108,data/xy/shengbei_s106_9106,shengbei_lianyun_s106,10.6.3.95,renren,3306,20614,42.62.56.206,running,1
s107,360_s17,10.6.8.87,data/xy/shengbei_s107_9107,shengbei_lianyun_s107,10.6.6.246,360,3306,20714,42.62.56.247,running,2
s108,pptv_s4,10.6.8.97,data/xy/shengbei_s108_9108,shengbei_lianyun_s108,10.6.1.238,pptv,3306,20814,42.62.56.145,running,1
s109,pps_s2,10.6.3.172,data/xy/shengbei_s109_9109,shengbei_lianyun_s109,10.6.7.140,pps,3306,20914,42.62.56.251,running,2
s110,360_s18,10.6.8.87,data/xy/shengbei_s110_9110,shengbei_lianyun_s110,10.6.6.246,360,3306,21014,42.62.56.247,running,3
s111,awo_s12,10.6.8.98,data/xy/shengbei_s111_9111,shengbei_lianyun_s111,10.6.3.24,awo,3306,21114,42.62.50.194,running,2
s112,4399_s4,10.6.3.31,data/xy/shengbei_s112_9112,shengbei_lianyun_s112,10.6.6.162,4399,3306,21214,42.62.50.144,running,1
s113,pps_s3,10.6.3.172,data/xy/shengbei_s113_9113,shengbei_lianyun_s113,10.6.7.140,pps,3306,21314,42.62.56.251,running,3
s114,360_s19,10.6.4.221,data/xy/shengbei_s114_9114,shengbei_lianyun_s114,10.6.6.246,360,3306,21414,42.62.26.173,running,1
s115,1377_s17,10.6.2.213,data/xy/shengbei_s115_9115,shengbei_lianyun_s115,10.6.8.220,1377,3306,21514,42.62.56.133,running,1
s116,smggame_s3,10.6.4.233,data/xy/shengbei_s116_9116,shengbei_lianyun_s116,10.6.5.160,smggame,3306,21614,42.62.56.33,running,3
s117,360_s20,10.6.4.221,data/xy/shengbei_s117_9117,shengbei_lianyun_s117,10.6.6.246,360,3306,21714,42.62.26.173,running,2
s118,37wanwan_s1,10.6.8.234,data/xy/shengbei_s118_9118,shengbei_lianyun_s118,10.6.1.83,37wanwan,3306,21814,42.62.50.149,running,1
s121,pptv_s5,10.6.8.97,data/xy/shengbei_s121_9121,shengbei_lianyun_s121,10.6.1.238,pptv,3306,22114,42.62.56.145,running,2
s123,360_s21,10.6.4.221,data/xy/shengbei_s123_9123,shengbei_lianyun_s123,10.6.6.246,360,3306,22314,42.62.26.173,running,3
s125,awo_s13,10.6.8.98,data/xy/shengbei_s125_9125,shengbei_lianyun_s125,10.6.3.24,awo,3306,22514,42.62.50.194,running,3
s126,360_s22,10.6.2.123,data/xy/shengbei_s126_9126,shengbei_lianyun_s126,10.6.6.246,360,3306,22614,42.62.56.162,running,1
s127,1377_s18,10.6.2.213,data/xy/shengbei_s127_9127,shengbei_lianyun_s127,10.6.8.220,1377,3306,22714,42.62.56.133,running,2
s129,8090_s3,10.6.6.218,data/xy/shengbei_s129_9129,shengbei_lianyun_s129,10.6.3.175,8090,3306,22914,42.62.50.108,running,3
s130,360_s23,10.6.2.123,data/xy/shengbei_s130_9130,shengbei_lianyun_s130,10.6.8.122,360,3306,23014,42.62.56.162,running,2
s132,91wan_s3,10.6.5.169,data/xy/shengbei_s132_9132,shengbei_lianyun_s132,10.6.5.191,91wan,3306,23214,42.62.3.179,running,3
s133,renren_s10,10.6.7.108,data/xy/shengbei_s133_9133,shengbei_lianyun_s133,10.6.3.95,renren,3306,23314,42.62.56.206,running,2
s134,8090_s4,10.6.5.25,data/xy/shengbei_s134_9134,shengbei_lianyun_s134,10.6.3.175,8090,3306,23414,42.62.56.193,running,1
s135,360_s24,10.6.2.123,data/xy/shengbei_s135_9135,shengbei_lianyun_s135,10.6.8.122,360,3306,23514,42.62.56.162,running,3
s137,360_s25,10.6.1.44,data/xy/shengbei_s137_9137,shengbei_lianyun_s137,10.6.8.122,360,3306,23714,42.62.50.223,running,1
s138,1377_s19,10.6.2.213,data/xy/shengbei_s138_9138,shengbei_lianyun_s138,10.6.8.220,1377,3306,23814,42.62.56.133,running,3
s139,renren_s11,10.6.7.108,data/xy/shengbei_s139_9139,shengbei_lianyun_s139,10.6.3.95,renren,3306,23914,42.62.56.206,running,3
s140,8090_s5,10.6.5.25,data/xy/shengbei_s140_9140,shengbei_lianyun_s140,10.6.3.175,8090,3306,24014,42.62.56.193,running,2
s141,4399_s5,10.6.3.31,data/xy/shengbei_s141_9141,shengbei_lianyun_s141,10.6.6.162,4399,3306,24114,42.62.50.144,running,2
s142,37wanwan_s2,10.6.8.234,data/xy/shengbei_s142_9142,shengbei_lianyun_s142,10.6.1.83,37wanwan,3306,24214,42.62.50.149,running,2
s143,360_s26,10.6.1.44,data/xy/shengbei_s143_9143,shengbei_lianyun_s143,10.6.8.122,360,3306,24314,42.62.50.223,running,2
s144,awo_s14,10.6.1.101,data/xy/shengbei_s144_9144,shengbei_lianyun_s144,10.6.3.24,awo,3306,24414,42.62.14.92,running,1
s145,91wan_s4,10.6.5.114,data/xy/shengbei_s145_9145,shengbei_lianyun_s145,10.6.5.191,91wan,3306,24514,42.62.14.88,running,1
s146,8090_s6,10.6.5.25,data/xy/shengbei_s146_9146,shengbei_lianyun_s146,10.6.3.175,8090,3306,24614,42.62.56.193,running,3
s149,360_s27,10.6.1.44,data/xy/shengbei_s149_9149,shengbei_lianyun_s149,10.6.8.122,360,3306,24914,42.62.50.223,running,3
s150,renren_s12,10.6.7.108,data/xy/shengbei_s150_9150,shengbei_lianyun_s150,10.6.3.95,renren,3306,25014,42.62.56.206,running,4
s151,91wan_s5,10.6.5.114,data/xy/shengbei_s151_9151,shengbei_lianyun_s151,10.6.5.191,91wan,3306,25114,42.62.14.88,running,2
s152,360_s28,10.6.1.44,data/xy/shengbei_s152_9152,shengbei_lianyun_s152,10.6.8.122,360,3306,25214,42.62.50.223,running,4
s153,1377_s20,10.6.2.213,data/xy/shengbei_s153_9153,shengbei_lianyun_s153,10.6.8.220,1377,3306,25314,42.62.56.133,running,4
s154,smggame_s4,10.6.4.233,data/xy/shengbei_s154_9154,shengbei_lianyun_s154,10.6.5.160,smggame,3306,25414,42.62.56.33,running,4
s155,360_s29,10.6.1.44,data/xy/shengbei_s155_9155,shengbei_lianyun_s155,10.6.8.122,360,3306,25514,42.62.50.223,running,5
s156,8090_s7,10.6.5.25,data/xy/shengbei_s156_9156,shengbei_lianyun_s156,10.6.3.175,8090,3306,25614,42.62.56.193,running,4
s157,renren_s13,10.6.7.108,data/xy/shengbei_s157_9157,shengbei_lianyun_s157,10.6.3.95,renren,3306,25714,42.62.56.206,running,5
s158,awo_s15,10.6.1.101,data/xy/shengbei_s158_9158,shengbei_lianyun_s158,10.6.3.24,awo,3306,25814,42.62.14.92,running,2
s159,37wanwan_s3,10.6.8.234,data/xy/shengbei_s159_9159,shengbei_lianyun_s159,10.6.1.83,37wanwan,3306,25914,42.62.50.149,running,3
s163,360_s30,10.6.3.232,data/xy/shengbei_s163_9163,shengbei_lianyun_s163,10.6.8.122,360,3306,26314,42.62.62.17,running,4
s164,91wan_s6,10.6.5.114,data/xy/shengbei_s164_9164,shengbei_lianyun_s164,10.6.5.191,91wan,3306,26414,42.62.14.88,running,3
s165,renren_s14,10.6.5.72,data/xy/shengbei_s165_9165,shengbei_lianyun_s165,10.6.3.95,renren,3306,26514,42.62.26.73,running,4
s166,360_s31,10.6.3.232,data/xy/shengbei_s166_9166,shengbei_lianyun_s166,10.6.8.122,360,3306,26614,42.62.62.17,running,5
s167,1377_s21,10.6.2.213,data/xy/shengbei_s167_9167,shengbei_lianyun_s167,10.6.8.220,1377,3306,26714,42.62.56.133,running,5
s168,360_s32,10.6.3.232,data/xy/shengbei_s168_9168,shengbei_lianyun_s168,10.6.8.122,360,3306,26814,42.62.62.17,running,6
s169,37wanwan_s4,10.6.8.234,data/xy/shengbei_s169_9169,shengbei_lianyun_s169,10.6.1.83,37wanwan,3306,26914,42.62.50.149,running,4
s170,zongheng_s1,10.6.7.58,data/xy/shengbei_s170_9170,shengbei_lianyun_s170,10.6.3.39,zongheng,3306,27014,42.62.14.89,running,1
s171,renren_s15,10.6.5.72,data/xy/shengbei_s171_9171,shengbei_lianyun_s171,10.6.3.95,renren,3306,27114,42.62.26.73,running,5
s173,8090_s8,10.6.5.25,data/xy/shengbei_s173_9173,shengbei_lianyun_s173,10.6.3.175,8090,3306,27314,42.62.56.193,running,5
s175,91wan_s7,10.6.5.114,data/xy/shengbei_s175_9175,shengbei_lianyun_s175,10.6.5.191,91wan,3306,27514,42.62.14.88,running,4
s176,360_s33,10.6.3.232,data/xy/shengbei_s176_9176,shengbei_lianyun_s176,10.6.8.122,360,3306,27614,42.62.62.17,running,7
s178,5664wan_s1,10.6.7.234,data/xy/shengbei_s178_9178,shengbei_lianyun_s178,10.6.3.39,5664wan,3306,27814,42.62.56.214,running,4
s179,360_s34,10.6.3.232,data/xy/shengbei_s179_9179,shengbei_lianyun_s179,10.6.8.122,360,3306,27914,42.62.62.17,running,8
s180,1377_s22,10.6.2.213,data/xy/shengbei_s180_9180,shengbei_lianyun_s180,10.6.8.220,1377,3306,28014,42.62.56.133,running,6
s182,renren_s16,10.6.5.72,data/xy/shengbei_s182_9182,shengbei_lianyun_s182,10.6.3.95,renren,3306,28214,42.62.26.73,running,6
s183,360_s35,10.6.3.232,data/xy/shengbei_s183_9183,shengbei_lianyun_s183,10.6.8.122,360,3306,28314,42.62.62.17,running,9
s185,renren_s17,10.6.5.72,data/xy/shengbei_s185_9185,shengbei_lianyun_s185,10.6.3.95,renren,3306,28514,42.62.26.73,running,7
s186,zongheng_s2,10.6.7.58,data/xy/shengbei_s186_9186,shengbei_lianyun_s186,10.6.3.39,zongheng,3306,28614,42.62.14.89,running,2
s187,5664wan_s2,10.6.7.234,data/xy/shengbei_s187_9187,shengbei_lianyun_s187,10.6.3.39,5664wan,3306,28714,42.62.56.214,running,5
s188,360_s36,10.6.7.170,data/xy/shengbei_s188_9188,shengbei_lianyun_s188,10.6.8.122,360,3306,28814,42.62.62.80,running,4
s189,8090_s9,10.6.5.25,data/xy/shengbei_s189_9189,shengbei_lianyun_s189,10.6.3.175,8090,3306,28914,42.62.56.193,running,6
s190,kaixin001_s2,10.6.1.121,data/xy/shengbei_s190_9190,shengbei_lianyun_s190,10.6.3.39,kaixin001,3306,29014,42.62.56.250,running,2
s191,360_s37,10.6.7.170,data/xy/shengbei_s191_9191,shengbei_lianyun_s191,10.6.8.122,360,3306,29114,42.62.62.80,running,5
s192,1377_s23,10.6.7.234,data/xy/shengbei_s192_9192,shengbei_lianyun_s192,10.6.8.220,1377,3306,29214,42.62.56.214,running,6
s193,91wan_s8,10.6.5.114,data/xy/shengbei_s193_9193,shengbei_lianyun_s193,10.6.5.191,91wan,3306,29314,42.62.14.88,running,5
s194,8090_s10,10.6.8.243,data/xy/shengbei_s194_9194,shengbei_lianyun_s194,10.6.3.175,8090,3306,29414,42.62.62.89,running,4
s195,5664wan_s3,10.6.7.234,data/xy/shengbei_s195_9195,shengbei_lianyun_s195,10.6.3.39,5664wan,3306,29514,42.62.56.214,running,7
s197,renren_s18,10.6.5.72,data/xy/shengbei_s197_9197,shengbei_lianyun_s197,10.6.3.95,renren,3306,29714,42.62.26.73,running,8
s198,zhigame_s1,10.6.5.81,data/xy/shengbei_s198_9198,shengbei_lianyun_s198,10.6.2.83,zhigame,3306,29814,42.62.62.92,running,3
s199,1717in_s1,10.6.8.97,data/xy/shengbei_s199_9199,shengbei_lianyun_s199,10.6.1.238,1717in,3306,29914,42.62.56.145,running,3
s200,5664wan_s4,10.6.7.234,data/xy/shengbei_s200_9200,shengbei_lianyun_s200,10.6.3.39,5664wan,3306,30014,42.62.56.214,running,8
s204,360_s38,10.6.7.170,data/xy/shengbei_s204_9204,shengbei_lianyun_s204,10.6.8.122,360,3306,30414,42.62.62.80,running,6
s205,91wan_s9,10.6.5.114,data/xy/shengbei_s205_9205,shengbei_lianyun_s205,10.6.5.191,91wan,3306,30514,42.62.14.88,running,6
s206,8090_s11,10.6.8.243,data/xy/shengbei_s206_9206,shengbei_lianyun_s206,10.6.3.175,8090,3306,30614,42.62.62.89,running,5
s207,5664wan_s5,10.6.7.234,data/xy/shengbei_s207_9207,shengbei_lianyun_s207,10.6.3.39,5664wan,3306,30714,42.62.56.214,running,9
s208,360_s39,10.6.7.170,data/xy/shengbei_s208_9208,shengbei_lianyun_s208,10.6.8.122,360,3306,30814,42.62.62.80,running,7
s209,1377_s24,10.6.7.234,data/xy/shengbei_s209_9209,shengbei_lianyun_s209,10.6.8.220,1377,3306,30914,42.62.56.214,running,1
s210,360_s40,10.6.7.170,data/xy/shengbei_s210_9210,shengbei_lianyun_s210,10.6.8.122,360,3306,31014,42.62.62.80,running,8
s211,5664wan_s6,10.6.7.173,data/xy/shengbei_s211_9211,shengbei_lianyun_s211,10.6.3.39,5664wan,3306,31114,42.62.62.86,running,4
s212,5664wan_s7,10.6.7.173,data/xy/shengbei_s212_9212,shengbei_lianyun_s212,10.6.3.39,5664wan,3306,31214,42.62.62.86,running,5
s213,5664wan_s8,10.6.7.173,data/xy/shengbei_s213_9213,shengbei_lianyun_s213,10.6.3.39,5664wan,3306,31314,42.62.62.86,running,6
s214,5664wan_s9,10.6.7.173,data/xy/shengbei_s214_9214,shengbei_lianyun_s214,10.6.3.39,5664wan,3306,31414,42.62.62.86,running,7
s215,5664wan_s10,10.6.7.173,data/xy/shengbei_s215_9215,shengbei_lianyun_s215,10.6.3.39,5664wan,3306,31514,42.62.62.86,running,8
s216,zhigame_s2,10.6.5.81,data/xy/shengbei_s216_9216,shengbei_lianyun_s216,10.6.2.83,zhigame,3306,31614,42.62.62.92,running,4
s217,zongheng_s3,10.6.7.58,data/xy/shengbei_s217_9217,shengbei_lianyun_s217,10.6.3.39,zongheng,3306,31714,42.62.14.89,running,3
s218,0356wan_s1,10.6.1.121,data/xy/shengbei_s218_9218,shengbei_lianyun_s218,10.6.3.39,0356wan,3306,31814,42.62.56.250,running,3
s219,5577yx_s1,10.6.5.172,data/xy/shengbei_s219_9219,shengbei_lianyun_s219,10.6.5.59,5577yx,3306,31914,42.62.56.196,running,4
s220,dahei_s1,10.6.5.172,data/xy/shengbei_s220_9220,shengbei_lianyun_s220,10.6.5.59,dahei,3306,32014,42.62.56.196,running,5
s221,37wanwan_s5,10.6.8.234,data/xy/shengbei_s221_9221,shengbei_lianyun_s221,10.6.1.83,37wanwan,3306,32114,42.62.50.149,running,5
s222,1377_s25,10.6.7.234,data/xy/shengbei_s222_9222,shengbei_lianyun_s222,10.6.8.220,1377,3306,32214,42.62.56.214,running,2
s223,91wan_s10,10.6.5.114,data/xy/shengbei_s223_9223,shengbei_lianyun_s223,10.6.5.191,91wan,3306,32314,42.62.14.88,running,7
s224,360_s41,10.6.7.170,data/xy/shengbei_s224_9224,shengbei_lianyun_s224,10.6.8.122,360,3306,32414,42.62.62.80,running,9
s228,5664wan_s11,10.6.6.10,data/xy/shengbei_s228_9228,shengbei_lianyun_s228,10.6.3.39,5664wan,3306,32814,42.62.56.209,running,4
s229,5664wan_s12,10.6.6.10,data/xy/shengbei_s229_9229,shengbei_lianyun_s229,10.6.3.39,5664wan,3306,32914,42.62.56.209,running,5
s230,5664wan_s13,10.6.6.10,data/xy/shengbei_s230_9230,shengbei_lianyun_s230,10.6.3.39,5664wan,3306,32914,42.62.56.209,running,6
s231,5664wan_s14,10.6.6.10,data/xy/shengbei_s231_9231,shengbei_lianyun_s231,10.6.3.39,5664wan,3306,32814,42.62.56.209,running,7
s232,5664wan_s15,10.6.6.10,data/xy/shengbei_s232_9232,shengbei_lianyun_s232,10.6.3.39,5664wan,3306,32814,42.62.56.209,running,8
s234,0356wan_s2,10.6.1.121,data/xy/shengbei_s234_9234,shengbei_lianyun_s234,10.6.3.39,0356wan,3306,33414,42.62.56.250,running,4
s235,9166wan_s1,10.6.1.121,data/xy/shengbei_s235_9235,shengbei_lianyun_s235,10.6.3.95,0356wan,3306,33514,42.62.56.250,running,5
s256,zhigame_s3,10.6.5.81,data/xy/shengbei_s256_9256,shengbei_lianyun_s256,10.6.2.83,zhigame,3306,35614,42.62.62.92,running,5
s257,dahei_s2,10.6.5.172,data/xy/shengbei_s257_9257,shengbei_lianyun_s257,10.6.5.59,dahei,3306,32014,42.62.56.196,running,6
s258,1377_s26,10.6.7.234,data/xy/shengbei_s258_9258,shengbei_lianyun_s258,10.6.8.220,1377,3306,32214,42.62.56.214,running,3
s259,91wan_s11,10.6.5.114,data/xy/shengbei_s259_9259,shengbei_lianyun_s259,10.6.5.191,91wan,3306,32314,42.62.14.88,running,8
s260,5664wan_s16,10.6.6.10,data/xy/shengbei_s260_9260,shengbei_lianyun_s260,10.6.3.39,5664wan,3306,32814,42.62.56.209,running,9
s261,360_s42,10.6.7.170,data/xy/shengbei_s261_9261,shengbei_lianyun_s261,10.6.8.122,360,3306,32414,42.62.62.80,running,1
s262,1717in_s2,10.6.8.97,data/xy/shengbei_s262_9262,shengbei_lianyun_s262,10.6.3.39,1717in,3306,36214,42.62.56.145,running,4
